Number	Label	Label V2.x	Text	Text2	Text3	Text4	Text	Text6	Text7	Text8	Text9	Text10	Text11	Text12	Text13	Text14	Text15	Text16	Text17	Text18	Text19	Text20	Text21	Text22	Text23	Text24	Text25	Text26	Text27	Text28	Text29	Text30	Text31	Text32	Full description																																		
89	WRDPRP2	PRO2i	14.104	18.176	44.136	17.589	32.014	15.106	46.696	13.464	10.402	22.891	0.380	2.828	25.75	9.054	36.696	36.131	25.634	18.125	26.320	27.957	24.693	10.838	25.232	15.074	11.096	15.452	9.827	13.141	17.450	2.115	29.880	10.402	Second person pronoun incidence
90	WRDPRP3s	n/a	58.221	57.860	16.282	42.588	31.560	68.567	30.303	43.665	44.276	17.946	12.375	19.274	26.576	34.982	9.638	13.961	26.268	23.202	28.788	25.139	23.083	60.471	33.842	37.775	23.116	25.200	44.923	36.654	20.747	25.619	29.354	44.276	Third person singular pronoun incidence
91	WRDPRP3p	n/a	10.047	16.145	9.422	10.853	6.122	10.578	4.650	9.070	12.759	6.802	14.125	5.432	6.768	8.257	5.659	3.922	5.903	10.045	4.286	5.233	6.844	10.666	5.763	12.385	14.332	5.202	14.887	22.032	9.720	9.018	3.203	12.759	Third person plural pronoun incidence
92	WRDFRQc	FRCLacwm	2.288	2.214	2.415	2.392	2.367	2.474	2.508	2.324	2.294	2.332	1.950	2.147	2.285	2.210	2.342	2.394	2.330	2.233	2.188	2.324	2.223	2.359	2.430	2.277	2.001	2.237	1.937	2.440	2.180	2.108	2.415	2.294	CELEX word frequency for content words, mean
93	WRDFRQa	FRCLaewm	2.989	3.111	3.057	3.103	3.032	3.150	3.136	3.094	3.084	3.067	3.040	3.012	3.073	3.032	3.096	3.011	3.046	2.900	2.924	2.999	2.905	3.030	3.134	3.084	2.955	2.863	2.964	3.165	2.855	3.023	3.112	3.084	CELEX Log frequency for all words, mean
94	WRDFRQmc	FRCLmcsm	1.255	0.976	1.483	1.433	1.516	1.515	1.503	1.563	1.571	1.388	1.031	1.102	1.416	1.443	1.450	1.393	1.681	1.423	1.460	1.504	1.393	1.400	1.849	1.438	1.161	1.507	1.079	1.576	1.286	1.171	1.580	1.571	CELEX Log minimum frequency for content words, mean
95	WRDAOAc	WRDAacwm	272.576	305.690	278.237	288.465	329.391	276.243	330.791	307.749	307.396	303.779	405.193	380.812	328.570	325.351	365.243	332.961	326.431	326.495	333.316	336.551	316.574	277	336.101	294.590	311.568	315.563	310.009	260.347	332.604	306.109	324.096	307.396	Age of acquisition for content words, mean
96	WRDFAMc	WRDFacwm	575.664	563.560	574.078	574.851	567.568	579.800	576.229	574.359	572.911	578.083	554.564	566.522	561.752	569.114	573.495	575.259	568.107	562.233	568.595	567.338	563.754	574.391	570.349	566.346	560.707	564.613	552.126	579.217	561.816	566.197	570.606	572.911	Familiarity for content words, mean
97	WRDCNCc	WRDCacwm	377.274	399.630	383.350	375.274	367.993	399.711	348.115	380.160	385.097	378.698	368.970	350.001	376.669	378.786	356.598	358.407	372.904	379.804	361.756	368.800	379.566	368.485	354.913	400.587	428.25	385.429	431.850	407.430	379.766	410.949	358.283	385.097	Concreteness for content words, mean
98	WRDIMGc	WRDIacwm	418.619	429.575	415.772	407.983	409.009	431.278	388.128	416.161	424.644	414.744	405.123	385.499	411.744	413.272	394.042	392.358	407.614	417.912	404.892	406.667	419.131	411.409	387.804	429.579	455.695	426.329	470.931	435.167	416.704	450.178	392.722	424.644	Imagability for content words, mean
99	WRDMEAc	WRDMacwm	426.289	426.489	420.314	417.773	421.832	432.378	420.580	424.804	430.795	426.553	421.247	414.258	416.226	422.483	421.001	418.612	420.151	427.691	418.572	420.571	423.374	422.333	405.632	425.998	440.239	429.819	445.869	435.211	420.034	446.266	407.325	430.795	Meaningfulness, Colorado norms, content words, mean
100	WRDPOLc	POLm	4.223	4.180	4.102	3.880	3.573	4.718	3.889	3.921	3.931	3.975	3.322	3.729	3.060	3.865	3.822	3.657	3.066	3.577	3.374	3.631	3.577	4.404	2.963	3.942	3.567	3.615	3.265	4.191	3.367	3.727	3.036	3.931	Polysemy for content words, mean
101	WRDHYPn	HYNOUNaw	7.191	7.022	5.799	6.218	5.573	6.744	5.158	5.866	6.589	5.910	6.342	6.431	3.996	6.478	6.531	5.712	3.870	5.707	4.928	5.478	5.688	5.914	3.507	5.806	6.373	5.918	5.585	6.123	5.614	6.400	3.942	6.589	Hypernymy for nouns, mean
102	WRDHYPv	HYVERBaw	1.665	1.749	1.460	1.653	1.517	1.643	1.338	1.637	1.655	1.490	1.762	1.579	1.118	1.637	1.525	1.619	1.107	1.514	1.810	1.573	1.685	1.551	1.075	1.666	1.682	1.503	1.830	1.666	1.476	1.663	1.132	1.655	Hypernymy for verbs, mean
103	WRDHYPnv	HYPm	1.722	1.515	1.400	1.245	1.308	1.401	1.054	1.337	1.465	1.400	1.735	1.670	1.138	1.380	1.459	1.347	1.135	1.454	1.313	1.375	1.456	1.368	0.968	1.362	1.698	1.540	1.532	1.369	1.398	1.660	1.137	1.465	Hypernymy for nouns and verbs, mean																						
104	RDFRE	READFRE	85.343	74.915	89.578	80.930	85.803	88.347	86.975	79.279	79.381	74.127	40.432	57.846	84.816	76.364	65.802	77.961	86.848	88.333	77.411	85.416	86.665	86.599	85.302	76.693	70.320	89.136	55.511	85.179	89.379	68.462	83.223	79.381	Flesch Reading Ease
105	RDFKGL	READFKGL	5.167	9.050	3.374	6.262	3.976	4.344	2.842	5.364	6.133	6.826	14.121	9.272	4.769	6.257	8.555	4.090	4.258	3.066	4.322	3.752	3.5	4.809	4.086	6.793	9.925	2.902	13.586	5.023	3.016	9.790	5.526	6.133	Flesch-Kincaid Grade level
106	RDL2	L2	17.757	13.539	21.860	15.544	14.118	22.415	20.421	17.881	16.049	16.499	5.695	14.711	13.937	13.327	19.790	16.631	14.842	11.709	11.192	13.065	12.710	18.25	17.969	13.295	3.992	12.823	6.314	17.290	9.411	8.135	16.872	16.049	Coh-Metrix L2 Readability
